Committee1,Committee2,CommonContributors
C00230482,C00777904,2
C00257642,C00787135,2
C00308676,C00787135,4
C00330886,C00777904,0
C00346312,C00787135,3
C00384529,C00777904,15
C00409581,C00777904,0
C00458315,C00777904,2
C00458398,C00787135,0
C00458398,C00787853,0
C00459255,C00777904,0
C00466482,C00784959,1
C00473371,C00765800,3
C00473827,C00777771,1
C00476317,C00784959,0
C00482984,C00777771,0
C00482984,C00777904,0
C00492991,C00787853,0
C00540302,C00777904,0
C00540732,C00787135,0
C00573758,C00787853,0
C00574889,C00787135,0
C00575548,C00787135,2
C00588772,C00787135,1
C00608398,C00777904,1
C00614776,C00784959,0
C00620518,C00777904,1
C00696526,C00787135,0
C00736876,C00787135,0
C00765164,C00787135,1
C00765800,C00783142,0
C00765800,C00787135,0
C00775015,C00777771,0
C00777771,C00787135,0
C00777771,C00795930,0
C00781443,C00784959,1
C00783142,C00784959,0
