Contributor1,Contributor2,Weight
C00248716,C00497073,20
C00439992,C00010868,20
C00439992,C00007880,22
C00439992,C00001198,22
C00331694,C00010868,20
C00331694,C00401224,28
C00539601,C00010868,20
C00571000,C00110338,20
C00391797,C00448373,20
C00495887,C00010868,20
C00495887,C00211318,20
C00691162,C00448373,20
C00691162,C00010868,20
C00566851,C00039578,20
C00566851,C00426775,20
C00566851,C00064766,24
C00566851,C00068692,26
C00235655,C00110338,20
C00388934,C00010868,20
C00010421,C00010868,20
C00797670,C00692111,20
C00762682,C00110338,20
C00409276,C00004812,20
C00409276,C00039578,20
C00409276,C00211318,20
C00489336,C00004812,22
C00000901,C00110338,22
C00110338,C00368696,20
C00110338,C00028860,20
C00110338,C00040998,24
C00004275,C00634774,26
C00144766,C00028860,22
C00076810,C00634774,22
C00551853,C00211318,20
C00004812,C00634774,20
C00368696,C00010868,20
C00024968,C00028860,22
C00039578,C00692111,20
C00039578,C00003251,20
C00003764,C00540054,20
C00540054,C00211318,20
C00030718,C00028860,20
C00106146,C00028860,20
C00497073,C00010868,20
