committee_id,total_contribution_amount
C00068353,65083.15
C00230482,1221700.01
C00257642,1755069.68
C00264697,1000.0
C00304758,30000.0
C00308676,1262350.0
C00330886,1164666.66
C00346312,1322563.72
C00384529,1330933.32
C00409581,1565900.0
C00458315,1080704.43
C00458398,680626.32
C00458463,1000.0
C00459255,1405520.35
C00460063,17400.0
C00464602,91346.97
C00466482,824958.33
C00473371,718225.0
C00473827,568400.0
C00476317,1269748.78
C00482984,638945.0
C00492991,671800.0
C00494930,2000.0
C00496075,404450.0
C00498345,28000.0
C00502575,4000.0
C00504019,1000.0
C00540302,1539146.08
C00540732,610233.5
C00543231,7000.0
C00573758,692100.0
C00574889,814600.0
C00575548,1553232.2
C00588772,1406118.4
C00590489,367444.2
C00591065,1000.0
C00608398,677416.67
C00614776,1104171.39
C00620518,1073681.67
C00696526,786309.99
C00711010,211100.0
C00726018,50000.0
C00730820,900.0
C00734731,5000.0
C00736876,769134.89
C00763565,2000.0
C00765164,653900.0
C00765800,623661.15
C00769471,4600.0
C00769745,19100.0
C00769901,19000.0
C00771972,2500.0
C00772954,2500.0
C00772962,5000.0
C00774059,7900.0
C00774570,43000.0
C00775015,613950.0
C00775510,4500.0
C00776765,242300.0
C00777771,745316.42
C00777904,625992.49
C00778993,1000.0
C00779967,2000.0
C00781443,771750.0
C00783142,711690.28
C00783274,82449.0
C00784165,338150.0
C00784959,634390.34
C00785279,9900.0
C00785733,6000.0
C00787135,558138.98
C00787853,524140.09
C00790063,2100.0
C00790469,323350.84
C00790550,20000.0
C00790758,16500.0
C00791186,340971.33
C00791525,116500.0
C00792267,9500.0
C00795252,411500.0
C00795930,521450.0
C00800268,9500.0
C00800532,10000.0
C00800623,10000.0
C00802959,7500.0
C00804120,8700.0
C00804377,99650.0
C00807222,13500.0
C00809699,3500.0
C00810754,100000.0
C00815019,116807.85
